Audio,Length,Duration,Sample_Rate,MFCC_max,MFCC_min,MFCC_mean,MFCC_median,MFCC_q1,MFCC_q3,spectral_centroid_max,spectral_centroid_min,spectral_centroid_mean,spectral_centroid_median,spectral_centroid_q1,spectral_centroid_q3,spectral_bandwidth_max,spectral_bandwidth_min,spectral_bandwidth_mean,spectral_bandwidth_median,spectral_bandwidth_q1,spectral_bandwidth_q3,zcr_max,zcr_min,zcr_mean,zcr_median,zcr_q1,zcr_q3
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk71.wav,16000,220500,13.78,127.38305,-393.9277,-16.794596,-5.7524743,-19.605637550354004,4.987841844558716,7035.622131406959,1693.9675962843196,3571.06611558534,3344.4786097984525,2782.2249855822247,4032.8022431175596,3740.509532329092,1620.1239198357598,2685.9125298419244,2710.2759327242384,2422.0701780228287,2943.063475904386,0.65625,0.0693359375,0.24469914624419953,0.2099609375,0.164794921875,0.287109375
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk72.wav,16000,220500,13.78,167.08713,-408.32443,-18.59168,-9.560665,-23.514331817626953,1.4957972764968872,6305.174700777429,1128.1622430475477,3469.150789726358,3369.8235378702216,2686.6391073759596,4150.860582467569,3281.9721268379885,1315.9540701882083,2480.532985382937,2525.702301133934,2295.831535320637,2694.15534290634,0.556640625,0.0478515625,0.235319841212297,0.21826171875,0.162109375,0.297119140625
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk73.wav,16000,220500,13.78,134.69562,-447.21738,-21.715971,-8.960648,-22.73684310913086,2.7898095846176147,6309.478475587618,1443.8740961201092,3283.7864886923157,3112.337395666983,2633.1837613375737,3805.502977544356,3341.337320724924,1388.1385844477868,2524.2295842347876,2525.231397415871,2317.1318736610965,2792.4117502799472,0.58154296875,0.06591796875,0.21542039769431554,0.20703125,0.134765625,0.26953125
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk74.wav,16000,220500,13.78,139.19498,-291.68597,-16.166956,-8.556381,-24.456244468688965,3.379404067993164,6746.654140328715,1293.0489763154037,3653.6646957104,3552.9855492614174,2578.5726952939995,4699.132270496983,3514.931000129671,1176.2962216999374,2519.8462069080965,2544.1137226214855,2237.5302912808556,2839.875217693835,0.587890625,0.06591796875,0.2797647639936195,0.27099609375,0.164794921875,0.3857421875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk75.wav,16000,220500,13.78,92.988525,-303.49847,-14.104698,-2.8138316,-14.350569725036621,7.564662933349609,6120.790908903322,2227.909381542202,4071.3425733013783,4060.3306593751904,3467.374218707855,4683.779361311661,3489.198397221516,2063.6851711686627,2732.10351386203,2751.5093816390777,2545.4045571509855,2894.317606386626,0.58056640625,0.0546875,0.2937606492894432,0.2861328125,0.21923828125,0.359130859375
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk76.wav,16000,220500,13.78,148.46722,-411.6555,-20.954897,-7.7418184,-24.24058246612549,5.825961112976074,6758.881219426703,1334.2726474174315,3923.8251693418074,3885.9411554121216,2941.343532801096,4885.78143131594,3265.8590025093836,1297.8598492862443,2638.1115979461224,2715.330787003836,2476.1144380212,2866.4972931956095,0.6318359375,0.0634765625,0.2762527642836427,0.23779296875,0.14501953125,0.4052734375
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk77.wav,16000,220500,13.78,147.25468,-434.38992,-25.223162,-6.033876,-17.628026008605957,7.20185661315918,6384.1922895153875,1438.2760346038244,4384.528265630919,4273.026258423796,3442.5605204381463,5540.003462123964,3246.895311897362,1331.7466002205601,2573.905554110343,2770.8413822321168,2257.2826597141,2854.8073507555027,0.5810546875,0.09130859375,0.3354741426189095,0.29931640625,0.18896484375,0.50732421875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk78.wav,16000,220500,13.78,218.12512,-343.13193,-10.83985,-8.664705,-22.40583610534668,7.295975208282471,4655.160108015807,636.554792822716,1345.3512612547245,1046.0976006317655,928.4228758562751,1165.0318004139208,2983.8618691853194,851.6160471133077,1503.2808866980627,1211.8842801160838,1068.4732167997495,1789.201767713518,0.29638671875,0.01904296875,0.09621746302204176,0.09228515625,0.04833984375,0.11474609375
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk79.wav,16000,220500,13.78,223.65602,-393.96097,-9.007296,-6.226998,-16.223663330078125,4.190146207809448,4169.7633042048565,436.3626524530225,691.409264933933,635.9684595141853,564.4775017378586,707.5656401771325,3345.7038128071144,763.1354565338373,1069.1734356134907,962.7742625333628,897.5382408119201,1045.2081217063824,0.0498046875,0.01171875,0.031472049013921116,0.0341796875,0.02685546875,0.03662109375
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk80.wav,16000,220500,13.78,227.44882,-378.8505,-13.246433,-6.79202,-17.764227867126465,2.416453003883362,4672.482955947169,535.352979911043,747.4156643921929,738.0233320004338,632.1921589392844,820.3098927484318,3352.0244542291134,838.280390701599,1103.3082141145726,1026.8231976840927,968.4461268520811,1210.0767868628373,0.076171875,0.01171875,0.03443912231728538,0.0341796875,0.0205078125,0.046630859375
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk81.wav,16000,106612,6.66,218.51035,-536.83325,-6.700224,-2.7486873,-14.880659103393555,10.347156524658203,6354.1662030636435,663.4081473639387,1044.7933671536039,876.6665018103722,755.8574134680824,1088.5634748729071,3658.1555377182785,1038.5364178666557,1583.8487265653318,1385.2351558013738,1201.8850419203163,1786.8191535674544,0.27490234375,0.0244140625,0.04161604739832536,0.03466796875,0.0302734375,0.04296875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video3/chunk0.wav,16000,220500,13.78,114.511505,-572.4932,-17.131176,-8.974943,-25.06259822845459,3.4335529804229736,6737.899488657133,0.0,4033.1764398827154,3796.0018458711893,3311.6090697452387,4733.429302781415,3359.710703170371,0.0,2705.5631240905604,2758.965036711231,2569.0318960785894,2882.443062682609,0.6337890625,0.0,0.2683122462296984,0.24072265625,0.18115234375,0.345703125
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video3/chunk1.wav,16000,220500,13.78,105.30523,-402.25812,-17.957218,-7.4581842,-25.078898429870605,5.609593391418457,7208.857588930294,2116.346419461932,4438.927372554351,4311.017870114974,3316.4142807691314,5416.413687476314,3283.6886505008415,1723.782816879925,2650.651264730249,2719.4040817817972,2491.172203213267,2884.0258320196817,0.64404296875,0.08837890625,0.32182832439095127,0.31591796875,0.187744140625,0.43310546875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video3/chunk2.wav,16000,220500,13.78,112.21156,-586.10547,-22.305552,-5.885945,-23.456958770751953,4.538699388504028,7411.7608896566235,1643.6228240221926,3866.4368856482665,3226.4268721738954,2453.518021820817,5263.253909671275,3667.4857529049796,1579.6482511640777,2651.8318836318685,2671.3173453210384,2358.4713570183067,2964.0698542197388,0.69775390625,0.06494140625,0.27502243148201855,0.19677734375,0.126220703125,0.392822265625
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video3/chunk3.wav,16000,220500,13.78,123.50946,-373.4486,-19.239904,-6.4587874,-23.989469528198242,4.19097113609314,7829.931804510442,1614.2680056774059,4041.0337193035953,3485.8742344548573,2564.2710309475196,5391.1106601748,3765.400486214975,1600.8424610128764,2678.0314941850693,2750.6296276203757,2368.2937414694734,2984.475677924222,0.72509765625,0.06103515625,0.292417026174594,0.23583984375,0.14794921875,0.401123046875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video3/chunk4.wav,16000,220500,13.78,120.78746,-371.468,-18.534496,-8.11522,-23.30965232849121,3.817880630493164,7535.585439751358,1866.5799168450562,3809.159606206719,3320.5743265312576,2830.2005713016924,4567.14421033602,3473.0202211768697,1580.0236065214153,2624.021618656885,2657.5196516135466,2430.158033619199,2869.9539641945557,0.69677734375,0.05419921875,0.2742248676769142,0.24169921875,0.156005859375,0.3515625
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video3/chunk5.wav,16000,220500,13.78,124.27725,-446.73508,-21.92885,-9.258352,-23.917603492736816,2.8043081760406494,7446.091136721393,1721.1226984981301,3698.25162684545,3201.6462532697174,2676.2087555702415,4444.309603428834,3452.725318636042,1660.2677404261294,2632.2528163146712,2636.1847130802844,2441.0378365763236,2855.283221705213,0.69482421875,0.0390625,0.25244027334686775,0.20556640625,0.134521484375,0.344482421875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video3/chunk6.wav,16000,220500,13.78,123.26717,-427.66547,-19.14804,-9.389913,-25.050118446350098,3.385370969772339,8080.634702643471,1803.6194268612576,4224.974209172677,3768.0529955535067,2931.2005951435876,5509.989709739922,3403.522857595817,1643.8213536445921,2539.33370386169,2546.201191317454,2300.722384497007,2787.050619784969,0.7275390625,0.04345703125,0.3108221704611369,0.2763671875,0.162353515625,0.422119140625
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video3/chunk7.wav,16000,220500,13.78,118.76306,-385.0766,-18.836313,-9.898075,-24.939051628112793,4.454321622848511,7520.757183928739,1885.0922692313789,3818.109511078066,3439.561185708336,2794.6695966334614,4774.654155449436,3326.1675539921757,1671.9893543121611,2639.5845889866796,2662.5830464420196,2480.343108725278,2858.4987085298344,0.71435546875,0.07373046875,0.27794078995069604,0.24365234375,0.1591796875,0.38134765625
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video3/chunk8.wav,16000,220500,13.78,102.35902,-392.675,-21.557468,-7.400629,-21.88686466217041,2.994580030441284,7234.237411744361,1632.4009596994997,4063.4190393379436,3701.149345921156,3027.73984511936,5211.872542114897,3482.4208472701825,1621.8163824570202,2688.430580409517,2697.739345238675,2513.6957669430535,2966.791939315615,0.64794921875,0.07958984375,0.31445199209686775,0.26953125,0.181640625,0.44970703125
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video3/chunk9.wav,16000,220500,13.78,113.66295,-435.5348,-16.96293,-6.195365,-21.959832191467285,6.2222206592559814,7394.879931041314,1810.3941143061504,3958.784880222334,3624.6319624676885,2873.482825364128,5083.083209495917,3492.0082192967675,1694.4079356307473,2669.4779984031766,2677.538204906763,2464.0871561450977,2908.1373038731185,0.70068359375,0.06494140625,0.28576461898201855,0.2431640625,0.15283203125,0.415283203125
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video3/chunk10.wav,16000,220500,13.78,101.128174,-375.7266,-18.10986,-7.704058,-21.82811737060547,4.38247013092041,7266.944026035475,1995.2184429456925,4116.403753651317,3887.013569488039,3082.7280114025507,5120.22887213553,3346.917057451543,1729.2708160169886,2773.3011110373072,2818.3245799381507,2611.93475629792,2993.9336457920726,0.65478515625,0.0517578125,0.295934690400232,0.259765625,0.171142578125,0.396240234375
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video3/chunk11.wav,16000,220500,13.78,113.06534,-474.5919,-24.634262,-8.805826,-26.551400184631348,3.364033579826355,8350.097230248568,1821.7829369679257,3968.648518774437,3515.603659625227,2789.140192760984,4717.27814002927,3711.854861068386,1694.201081415719,2608.0985684326224,2615.4686790196447,2317.446460221484,2881.212726178099,0.7314453125,0.04736328125,0.2632493021316705,0.19873046875,0.14599609375,0.350341796875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video3/chunk12.wav,16000,220500,13.78,113.50023,-416.76456,-22.068075,-8.382498,-22.995895385742188,4.202757358551025,7758.660327097972,1933.0845786873426,4436.175444901969,4378.525433306348,3159.599976091884,5498.953391296933,3524.596069516179,1776.3931097690731,2674.702564927739,2673.2774216063517,2418.031388744469,2988.639264168897,0.6572265625,0.0625,0.33539823810904873,0.3447265625,0.18212890625,0.449951171875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video3/chunk13.wav,16000,220500,13.78,127.54103,-462.75262,-22.695976,-8.140489,-22.67071533203125,2.6189002990722656,7357.8174272957785,1664.921081573729,4351.535511072413,4140.699477943597,3232.1748318399623,5638.9589220416765,3415.0591365425316,1599.480326837417,2691.6010582328972,2763.7449852101568,2470.3979907313014,2982.471334966862,0.66748046875,0.07080078125,0.3273308349042923,0.3017578125,0.18408203125,0.46435546875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video3/chunk14.wav,16000,220500,13.78,123.207275,-384.71075,-17.96811,-9.423227,-25.582923889160156,3.0214377641677856,7123.05957098257,1896.182429411499,3951.7226236065853,3395.587725747538,2735.2029476594043,5317.985578491011,3398.55673210017,1736.0124412097425,2605.0333526929912,2597.660300680685,2383.6527422586223,2863.578320803117,0.63232421875,0.0576171875,0.29076185469837584,0.2646484375,0.16259765625,0.40380859375
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video3/chunk15.wav,16000,220500,13.78,132.61014,-450.01364,-21.327232,-9.458287,-27.001185417175293,3.530383586883545,7390.163649059236,1789.7977282229394,3920.1042400899337,3382.454614031645,2745.2231560254304,4964.603331716948,3475.6060454599024,1586.2160282842015,2572.9846219406454,2598.237517157395,2339.065963117392,2831.315684554415,0.66259765625,0.07177734375,0.27364255546693733,0.23193359375,0.151611328125,0.364013671875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video3/chunk16.wav,16000,220500,13.78,101.318214,-481.9754,-24.942375,-8.829203,-24.14027690887451,2.8971383571624756,7495.544300494697,2063.4075712799486,4224.95878393003,3917.7871304198275,3191.7371638408904,5170.735013406471,3437.4605592759226,1721.537524415816,2773.474637860227,2824.290096531435,2577.0429980565214,3014.5268323425094,0.68310546875,0.08544921875,0.30624297600058004,0.2724609375,0.174560546875,0.421142578125
