Audio,Length,Duration,Sample_Rate,MFCC_max,MFCC_min,MFCC_mean,MFCC_median,MFCC_q1,MFCC_q3,spectral_centroid_max,spectral_centroid_min,spectral_centroid_mean,spectral_centroid_median,spectral_centroid_q1,spectral_centroid_q3,spectral_bandwidth_max,spectral_bandwidth_min,spectral_bandwidth_mean,spectral_bandwidth_median,spectral_bandwidth_q1,spectral_bandwidth_q3,zcr_max,zcr_min,zcr_mean,zcr_median,zcr_q1,zcr_q3,cluster
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk183.wav,16000,220500,13.78,102.13719,-382.28598,-20.64029,-11.172929,-27.236144065856934,4.475372791290283,7218.547308270097,2138.338755845736,4003.1865464380826,3820.199876686471,2923.249783764772,5010.238540393784,3537.799742478635,1857.4370123092508,2827.362464001289,2894.515621368261,2563.8932388674034,3068.0829570791684,0.6650390625,0.07373046875,0.2859798705771462,0.24853515625,0.16357421875,0.395263671875,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk243.wav,16000,220500,13.78,104.358185,-318.653,-18.402737,-12.705052,-28.14798164367676,3.5667606592178345,7235.020688423309,1999.587678349864,4142.891452533043,3721.401741472813,3019.6679962297526,5268.32497490734,3466.2685547943724,1770.141172762655,2810.019611485614,2838.41256507307,2617.9759049544264,3079.0284602323245,0.6796875,0.06982421875,0.3002317919808585,0.24169921875,0.15673828125,0.451416015625,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk227.wav,16000,220500,13.78,105.716415,-319.90332,-15.989598,-7.0695357,-22.055152893066406,5.395444869995117,7146.945526766916,1904.5041522400732,3996.7425089671046,3857.9506977673855,2993.814923184034,4627.467216435594,3373.296674595161,1935.3311727675616,2811.0160172454184,2869.6967835211112,2658.7187975686784,3020.3822689096523,0.6640625,0.06103515625,0.2817666038283062,0.244140625,0.145263671875,0.3798828125,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk167.wav,16000,220500,13.78,102.85169,-323.14218,-18.874596,-12.222006,-29.15676689147949,1.4908827543258667,7247.443023295534,1867.783030451616,3910.8409647154513,3769.222781635503,2974.505488983538,4689.898554593719,3459.587286471915,1787.9650792863972,2906.962658904495,2950.1691923443955,2760.5109344176426,3117.382057843668,0.64501953125,0.06640625,0.2586859683149652,0.22314453125,0.134765625,0.3798828125,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video5/chunk44.wav,16000,220500,13.78,118.16005,-418.50406,-21.70638,-11.051105,-25.8770170211792,-0.4047368168830871,7323.039172526343,1561.440166150663,4162.275324155424,4027.975726685278,3095.7365679672976,5199.956288015046,3732.7755375522975,1971.2769577833733,2862.6706432405304,2891.281037210981,2677.468389372971,3058.239357119538,0.76953125,0.06884765625,0.3118485806989559,0.30322265625,0.16943359375,0.412109375,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video5/chunk45.wav,16000,220500,13.78,124.36256,-422.97168,-22.257956,-10.4173765,-24.58383560180664,-0.6401284337043762,7227.412199903888,1581.5019951322774,4034.610155907256,4077.110145125149,3024.347951213541,5117.402736131345,3435.501267218237,1807.4570692522263,2830.563243439688,2869.990729200283,2664.4594527327445,3083.69051075235,0.625,0.060546875,0.2931443499854988,0.29541015625,0.150146484375,0.41552734375,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video14/chunk59.wav,16000,220500,13.78,122.52692,-376.46225,-20.708956,-8.4115715,-22.730597496032715,1.5708919763565063,7188.729197659818,1765.5761644786671,4106.846075564991,3756.635184021817,2944.519979355985,5364.274587594675,3407.2492848281936,1809.1351667884437,2783.713870709762,2818.7769882054645,2622.6899384469502,2978.6218897493063,0.6865234375,0.10205078125,0.3110136310904872,0.26708984375,0.1787109375,0.449951171875,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk163.wav,16000,220500,13.78,109.70184,-337.86926,-19.099508,-11.6387415,-25.397201538085938,3.3066747188568115,6989.380676254378,1817.660805731109,4100.464248367181,4055.2799988982215,2953.034595083954,5149.366376581959,3495.892732264417,1843.0680367187365,2795.5280480174997,2879.653116516269,2577.988567562993,3066.3776078399424,0.63427734375,0.06103515625,0.2940325460411833,0.27294921875,0.1591796875,0.424560546875,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video5/chunk128.wav,16000,220500,13.78,104.62851,-403.01224,-26.514648,-16.904934,-31.98099136352539,-2.770404100418091,7147.92961487876,1752.4999706396293,3983.085135451948,3729.404043537434,3045.516592564964,4610.879689635856,3433.6437745521093,1845.2965378308224,2802.3182850413928,2835.5378047443483,2607.5825461946247,3009.921323960646,0.65625,0.06787109375,0.2698937790023202,0.24658203125,0.146484375,0.347412109375,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk259.wav,16000,220500,13.78,105.72674,-399.6051,-24.909855,-10.483305,-27.969310760498047,4.195220708847046,7141.839898755392,1843.0324234621276,4067.750808321905,3843.486745672287,3012.4773050861186,5011.528986750924,3547.996137640076,1759.9669317501805,2801.019894382709,2897.1283015995696,2568.026787258625,3060.7654307837056,0.68505859375,0.05859375,0.2869643633990719,0.2509765625,0.14013671875,0.412109375,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk256.wav,16000,220500,13.78,117.29889,-291.39313,-15.989964,-7.26379,-21.91860008239746,5.384646892547607,7046.637658487496,1614.5183399894745,4108.177401975302,4032.406755298368,3109.532499859599,5105.042560794558,3425.210898098254,1792.1876345382586,2830.297868724789,2901.7862390301007,2651.4667934679464,3033.126036502561,0.68310546875,0.056640625,0.3061874637470997,0.2724609375,0.175048828125,0.423828125,9
