Audio,Length,Duration,Sample_Rate,MFCC_max,MFCC_min,MFCC_mean,MFCC_median,MFCC_q1,MFCC_q3,spectral_centroid_max,spectral_centroid_min,spectral_centroid_mean,spectral_centroid_median,spectral_centroid_q1,spectral_centroid_q3,spectral_bandwidth_max,spectral_bandwidth_min,spectral_bandwidth_mean,spectral_bandwidth_median,spectral_bandwidth_q1,spectral_bandwidth_q3,zcr_max,zcr_min,zcr_mean,zcr_median,zcr_q1,zcr_q3,cluster,selection_model_y
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk53.wav,220500,10.0,22050,195.67992,-454.70953,-14.671178,-2.72511,-14.02650260925293,12.554648399353027,5655.650640757543,495.90398512711846,1533.2910215063437,1138.649688872742,817.6698241094837,1728.114680420614,3535.282839200984,977.055689999798,1877.4330104607884,1794.2851181568733,1395.0779801560125,2303.1122827570616,0.484375,0.015625,0.0628002193300464,0.0341796875,0.02978515625,0.05029296875,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video4/chunk156.wav,220500,10.0,22050,188.54213,-494.785,-15.493979,3.5683665,-5.567181587219238,16.52657127380371,5668.823928557494,602.8603200105348,1508.532034080741,1177.6182841541909,1026.1633937638396,1542.4156291550798,3941.628361440235,1161.4406980116053,2036.9014312512627,1910.8090672206083,1700.5843827719318,2259.443836023154,0.5419921875,0.01806640625,0.0600302711716937,0.04052734375,0.033203125,0.052978515625,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk55.wav,220500,10.0,22050,206.09387,-454.32758,-15.014316,-5.2419415,-14.936801433563232,10.482606887817385,5538.227803644533,465.5436179453044,1370.988501933923,1110.2956407812314,811.5870683160622,1603.2912362264524,3198.0334823300504,826.7606959945485,1733.6679656257522,1648.2009965822415,1334.7049833315034,2113.917139911573,0.46142578125,0.01513671875,0.0583422455046403,0.04052734375,0.032958984375,0.0546875,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video4/chunk153.wav,220500,10.0,22050,199.98416,-477.36017,-16.21411,0.6486154,-8.727161884307861,13.383638381958008,5161.858784842051,659.6488480649277,1664.8878708360246,1302.749057295175,1051.13047530101,1933.7602268150004,3132.216832345332,1189.0261788233213,2014.2936715787987,1886.199658403103,1622.948406720384,2374.687860019104,0.43017578125,0.01806640625,0.0790811702436194,0.0546875,0.04052734375,0.079345703125,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video4/chunk152.wav,220500,10.0,22050,211.54062,-497.2038,-17.477566,0.1527623,-10.15149974822998,13.174028873443604,5246.081957974797,577.4420828724285,1491.6941036823175,1124.4253930412629,917.0850107097248,1575.778571383388,3425.9383513149096,918.6053294962882,1862.9364719942648,1711.6153406661836,1458.399737402458,2149.6925306622543,0.4384765625,0.01171875,0.0671392383265661,0.04638671875,0.034423828125,0.06689453125,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video13/chunk67.wav,220500,10.0,22050,205.46655,-496.8006,-27.823845,-13.829653,-26.60457706451416,-2.589086174964905,5111.558004853415,641.8816842146772,1617.4661945471737,1408.543312389779,1092.4994759022002,1856.482513895414,3640.4561303009,973.2747085313306,1928.745498752802,1876.37730205036,1490.5228215024315,2282.094507038546,0.20556640625,0.02001953125,0.0628897186774942,0.05419921875,0.0419921875,0.072265625,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk62.wav,220500,10.0,22050,222.08905,-419.59518,-10.573975,-0.98506737,-14.357370376586914,13.36715316772461,5048.986596539046,548.7106662361899,1591.9713689404612,1151.2233378734502,905.824437564245,1724.2836466940023,3732.901314356295,879.9046842675115,1776.1124512805309,1516.9826148043053,1270.656175501678,2223.086477910195,0.38427734375,0.0205078125,0.0739094674448955,0.04931640625,0.03662109375,0.079833984375,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk37.wav,220500,10.0,22050,203.7897,-440.53513,-6.864788,3.7201538,-6.078727006912232,16.229267120361328,5306.001666506063,516.9755378585244,1318.362048868826,1086.0032238539457,803.6181124149937,1467.7095201912869,3466.814740467392,1049.313623767517,1769.504300901729,1676.9824939208097,1402.044056193767,2026.284412716058,0.4619140625,0.009765625,0.0517090976653132,0.03466796875,0.02392578125,0.0537109375,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video13/chunk73.wav,220500,10.0,22050,218.12556,-521.6047,-23.911272,-8.026346,-19.58585453033448,2.850302219390869,5471.432955921854,617.2082015357593,1618.3530646967286,1361.1127405987118,1122.6174911013798,1777.5112579963147,3582.984552887493,901.4830204159052,1646.3149355507894,1565.0342709265049,1276.0292185781277,1891.2441987321872,0.453125,0.015625,0.0756280814965197,0.06298828125,0.04541015625,0.078369140625,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video11/chunk50.wav,220500,10.0,22050,215.40775,-261.75082,4.501968,3.9598784,-7.034945487976074,16.537150382995605,4785.220002382563,550.0394455024501,1554.1180020589154,1147.893880326402,926.389390773305,1702.4170994238286,3934.55566114159,852.1641427528419,1916.2499124375004,1690.7277452015562,1416.2597582452845,2400.698323937534,0.36572265625,0.0078125,0.0627367767546403,0.0419921875,0.0302734375,0.06298828125,3,Wav2Vec50_Model
